@relation bookkeeper5Testing-weka.filters.unsupervised.attribute.Remove-R2

@attribute Version {4.2.2}
@attribute NR numeric
@attribute NAUTHORS numeric
@attribute LOC numeric
@attribute LOC_ADDED numeric
@attribute AVGLOCADDED numeric
@attribute MAXLOCADDED numeric
@attribute CHURN numeric
@attribute AVGCHURN numeric
@attribute MAXCHURN numeric
@attribute BUGGY {No,Yes}

@data
4.2.2,1,1,215,1,1,1,0,0,0,No
4.2.2,0,0,273,0,0,0,0,0,0,Yes
4.2.2,0,0,460,0,0,0,0,0,0,Yes
4.2.2,0,0,138,0,0,0,0,0,0,No
4.2.2,0,0,358,0,0,0,0,0,0,No
4.2.2,8,3,1154,134,16.75,66,188,23.5,141,Yes
4.2.2,0,0,51,0,0,0,0,0,0,No
4.2.2,0,0,157,0,0,0,0,0,0,No
4.2.2,0,0,31,0,0,0,0,0,0,No
4.2.2,3,2,1009,39,13,29,28,9.333333,22,No
4.2.2,1,1,193,14,14,14,13,13,13,No
4.2.2,1,1,83,83,83,83,83,83,83,Yes
4.2.2,0,0,262,0,0,0,0,0,0,No
4.2.2,2,2,638,113,56.5,112,95,47.5,90,Yes
4.2.2,0,0,40,0,0,0,0,0,0,No
4.2.2,1,1,374,39,39,39,5,5,5,No
4.2.2,0,0,390,0,0,0,0,0,0,No
4.2.2,0,0,51,0,0,0,0,0,0,No
4.2.2,3,2,579,6,2,3,2,0.666667,2,Yes
4.2.2,0,0,32,0,0,0,0,0,0,No
4.2.2,0,0,66,0,0,0,0,0,0,No
4.2.2,2,2,260,107,53.5,106,72,36,71,Yes
4.2.2,5,2,596,123,24.6,105,14,2.8,7,No
4.2.2,2,2,198,42,21,36,38,19,32,No
4.2.2,0,0,50,0,0,0,0,0,0,No
4.2.2,0,0,27,0,0,0,0,0,0,No
4.2.2,3,2,926,20,6.666667,15,3,1,2,No
4.2.2,0,0,60,0,0,0,0,0,0,No
4.2.2,0,0,62,0,0,0,0,0,0,No
4.2.2,0,0,87,0,0,0,0,0,0,No
4.2.2,0,0,52,0,0,0,0,0,0,No
4.2.2,3,2,297,30,10,26,29,9.666667,26,No
4.2.2,0,0,163,0,0,0,0,0,0,No
4.2.2,1,1,118,14,14,14,9,9,9,No
4.2.2,1,1,83,83,83,83,83,83,83,No
4.2.2,0,0,147,0,0,0,0,0,0,No
4.2.2,0,0,58,0,0,0,0,0,0,No
4.2.2,0,0,44,0,0,0,0,0,0,No
4.2.2,1,1,108,14,14,14,0,0,0,No
4.2.2,3,2,192,274,91.333333,192,194,64.666667,192,No
4.2.2,1,1,151,12,12,12,12,12,12,No
4.2.2,1,1,352,28,28,28,26,26,26,Yes
4.2.2,4,3,752,121,30.25,64,104,26,64,Yes
