Version,Filename,NR,NAUTHORS,LOC,LOC_ADDED,AVGLOCADDED,MAXLOCADDED,CHURN,AVGCHURN,MAXCHURN,BUGGY
4.2.2,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/BenchBookie.java,1,1,215,1,1.0,1,0,0.0,0,No
4.2.2,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/BenchReadThroughputLatency.java,0,0,273,0,0.0,0,0,0.0,0,Yes
4.2.2,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/BenchThroughputLatency.java,0,0,460,0,0.0,0,0,0.0,0,Yes
4.2.2,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/MySqlClient.java,0,0,138,0,0.0,0,0,0.0,0,No
4.2.2,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/TestClient.java,0,0,358,0,0.0,0,0,0.0,0,No
4.2.2,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java,8,3,1154,134,16.0,66,188,23.0,141,Yes
4.2.2,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BookieBean.java,0,0,51,0,0.0,0,0,0.0,0,No
4.2.2,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BookieException.java,0,0,157,0,0.0,0,0,0.0,0,No
4.2.2,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BookieMXBean.java,0,0,31,0,0.0,0,0,0.0,0,No
4.2.2,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BookieShell.java,3,2,1009,39,13.0,29,28,9.0,22,No
4.2.2,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BufferedChannel.java,1,1,193,14,14.0,14,13,13.0,13,No
4.2.2,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/CheckpointSource.java,1,1,83,83,83.0,83,83,83.0,83,Yes
4.2.2,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Cookie.java,0,0,262,0,0.0,0,0,0.0,0,No
4.2.2,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/EntryLogger.java,2,2,638,113,56.0,112,95,47.0,90,Yes
4.2.2,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/ExitCode.java,0,0,40,0,0.0,0,0,0.0,0,No
4.2.2,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/FileInfo.java,1,1,374,39,39.0,39,5,5.0,5,No
4.2.2,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/FileSystemUpgrade.java,0,0,390,0,0.0,0,0,0.0,0,No
4.2.2,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/GarbageCollector.java,0,0,51,0,0.0,0,0,0.0,0,No
4.2.2,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/GarbageCollectorThread.java,3,2,579,6,2.0,3,2,0.0,2,Yes
4.2.2,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/HandleFactory.java,0,0,32,0,0.0,0,0,0.0,0,No
4.2.2,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/HandleFactoryImpl.java,0,0,66,0,0.0,0,0,0.0,0,No
4.2.2,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/InterleavedLedgerStorage.java,2,2,260,107,53.0,106,72,36.0,71,Yes
4.2.2,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Journal.java,5,2,596,123,24.0,105,14,2.0,7,No
4.2.2,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/JournalChannel.java,2,2,198,42,21.0,36,38,19.0,32,No
4.2.2,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCache.java,0,0,50,0,0.0,0,0,0.0,0,No
4.2.2,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCacheBean.java,0,0,27,0,0.0,0,0,0.0,0,No
4.2.2,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCacheImpl.java,3,2,926,20,6.0,15,3,1.0,2,No
