Version,Filename,NR,NAUTHORS,LOC,LOC_ADDED,AVGLOCADDED,MAXLOCADDED,CHURN,AVGCHURN,MAXCHURN,BUGGY
4.2.0,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/BenchBookie.java,0,0,215,0,0.0,0,0,0.0,0,No
4.2.0,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/BenchReadThroughputLatency.java,0,0,271,0,0.0,0,0,0.0,0,Yes
4.2.0,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/BenchThroughputLatency.java,1,1,458,14,14.0,14,7,7.0,7,Yes
4.2.0,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/MySqlClient.java,0,0,137,0,0.0,0,0,0.0,0,Yes
4.2.0,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/TestClient.java,1,1,357,15,15.0,15,11,11.0,11,Yes
4.2.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java,17,3,1242,635,37.35294117647059,175,510,30.0,153,Yes
4.2.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BookieBean.java,0,0,51,0,0.0,0,0,0.0,0,No
4.2.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BookieException.java,1,1,154,5,5.0,5,4,4.0,4,Yes
4.2.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BookieMXBean.java,0,0,31,0,0.0,0,0,0.0,0,No
4.2.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BookieShell.java,5,3,928,945,189.0,684,938,187.6,684,No
4.2.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BufferedChannel.java,0,0,180,0,0.0,0,0,0.0,0,No
4.2.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Cookie.java,3,2,260,101,33.666666666666664,88,64,21.333333333333332,61,Yes
4.2.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/EntryLogger.java,6,3,551,123,20.5,62,78,13.0,43,Yes
4.2.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/ExitCode.java,0,0,40,0,0.0,0,0,0.0,0,No
4.2.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/FileInfo.java,3,1,361,109,36.333333333333336,63,106,35.333333333333336,62,Yes
4.2.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/FileSystemUpgrade.java,2,2,388,18,9.0,11,9,4.5,6,Yes
4.2.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/GarbageCollector.java,1,1,51,51,51.0,51,51,51.0,51,No
4.2.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/GarbageCollectorThread.java,7,3,577,122,17.428571428571427,67,76,10.857142857142858,59,No
4.2.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/HandleFactory.java,0,0,32,0,0.0,0,0,0.0,0,No
4.2.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/HandleFactoryImpl.java,0,0,66,0,0.0,0,0,0.0,0,No
4.2.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/InterleavedLedgerStorage.java,8,2,188,41,5.125,13,37,4.625,18,Yes
4.2.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Journal.java,6,3,582,30,5.0,10,18,3.0,7,No
4.2.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/JournalChannel.java,1,1,158,2,2.0,2,0,0.0,0,Yes
4.2.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCache.java,1,1,50,4,4.0,4,4,4.0,4,No
4.2.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCacheBean.java,0,0,27,0,0.0,0,0,0.0,0,No
4.2.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCacheImpl.java,9,2,928,207,23.0,93,150,16.666666666666668,72,Yes
4.2.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCacheMXBean.java,0,0,60,0,0.0,0,0,0.0,0,No
4.2.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerDescriptor.java,1,1,62,2,2.0,2,0,0.0,0,No
4.2.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerDescriptorImpl.java,1,1,87,4,4.0,4,1,1.0,1,No
4.2.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerDescriptorReadOnlyImpl.java,1,1,52,1,1.0,1,0,0.0,0,No
4.2.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerDirsManager.java,3,2,268,270,90.0,240,268,89.33333333333333,240,Yes
4.2.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerEntryPage.java,0,0,163,0,0.0,0,0,0.0,0,No
4.2.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerStorage.java,1,1,109,19,19.0,19,18,18.0,18,No
