@relation bookkeeper4Training-weka.filters.unsupervised.attribute.Remove-R2

@attribute Version {4.0.0,4.1.0,4.2.0}
@attribute NR numeric
@attribute NAUTHORS numeric
@attribute LOC numeric
@attribute LOC_ADDED numeric
@attribute AVGLOCADDED numeric
@attribute MAXLOCADDED numeric
@attribute CHURN numeric
@attribute AVGCHURN numeric
@attribute MAXCHURN numeric
@attribute BUGGY {No,Yes}

@data
4.2.0,0,0,28,0,0,0,0,0,0,No
4.2.0,5,1,92,64,12.8,28,56,11.2,27,No
4.2.0,14,3,885,476,34,125,351,25.071429,118,No
4.2.0,0,0,67,0,0,0,0,0,0,No
4.2.0,0,0,29,0,0,0,0,0,0,No
4.2.0,1,1,105,105,105,105,105,105,105,No
4.2.0,0,0,72,0,0,0,0,0,0,No
4.2.0,0,0,37,0,0,0,0,0,0,No
4.2.0,1,1,47,5,5,5,4,4,4,No
4.2.0,0,0,31,0,0,0,0,0,0,No
4.2.0,2,1,90,18,9,15,13,6.5,12,No
4.2.0,8,2,223,190,23.75,68,173,21.625,59,No
4.2.0,3,2,214,233,77.666667,153,214,71.333333,153,No
4.2.0,2,2,107,33,16.5,29,26,13,24,No
4.2.0,0,0,37,0,0,0,0,0,0,No
4.2.0,0,0,27,0,0,0,0,0,0,No
4.2.0,0,0,48,0,0,0,0,0,0,No
4.2.0,2,1,166,166,83,149,166,83,149,No
4.2.0,4,1,213,241,60.25,163,213,53.25,163,No
4.2.0,1,1,866,866,866,866,866,866,866,No
4.2.0,3,1,159,190,63.333333,118,159,53,118,No
4.2.0,2,1,100,104,52,100,100,50,100,No
4.2.0,2,1,96,100,50,96,96,48,96,No
4.2.0,7,1,841,893,127.571429,559,841,120.142857,559,No
4.2.0,9,3,525,127,14.111111,40,89,9.888889,28,No
4.2.0,1,1,83,7,7,7,6,6,6,No
4.2.0,0,0,63,0,0,0,0,0,0,No
4.2.0,0,0,76,0,0,0,0,0,0,No
4.2.0,1,1,202,11,11,11,11,11,11,No
4.2.0,2,2,155,10,5,7,7,3.5,6,No
4.2.0,11,3,1262,695,63.181818,330,454,41.272727,199,No
4.2.0,0,0,74,0,0,0,0,0,0,No
