@relation bookkeeper4Testing-weka.filters.unsupervised.attribute.Remove-R2

@attribute Version {4.2.1}
@attribute NR numeric
@attribute NAUTHORS numeric
@attribute LOC numeric
@attribute LOC_ADDED numeric
@attribute AVGLOCADDED numeric
@attribute MAXLOCADDED numeric
@attribute CHURN numeric
@attribute AVGCHURN numeric
@attribute MAXCHURN numeric
@attribute BUGGY {No,Yes}

@data
4.2.1,1,1,329,329,329,329,329,329,329,No
4.2.1,1,1,64,64,64,64,64,64,64,No
4.2.1,1,1,164,164,164,164,164,164,164,No
4.2.1,2,2,624,626,313,621,624,312,621,No
4.2.1,1,1,74,74,74,74,74,74,74,No
4.2.1,1,1,117,117,117,117,117,117,117,No
4.2.1,1,1,84,84,84,84,84,84,84,No
4.2.1,2,2,226,227,113.5,226,226,113,226,No
4.2.1,1,1,76,76,76,76,76,76,76,No
4.2.1,1,1,323,323,323,323,323,323,323,No
4.2.1,0,0,72,0,0,0,0,0,0,No
4.2.1,0,0,42,0,0,0,0,0,0,No
4.2.1,0,0,48,0,0,0,0,0,0,No
4.2.1,0,0,89,0,0,0,0,0,0,No
4.2.1,0,0,380,0,0,0,0,0,0,No
4.2.1,1,1,141,4,4,4,3,3,3,No
4.2.1,1,1,148,8,8,8,6,6,6,No
4.2.1,0,0,191,0,0,0,0,0,0,No
4.2.1,0,0,46,0,0,0,0,0,0,No
4.2.1,0,0,165,0,0,0,0,0,0,No
4.2.1,0,0,171,0,0,0,0,0,0,No
4.2.1,0,0,56,0,0,0,0,0,0,No
4.2.1,0,0,179,0,0,0,0,0,0,No
4.2.1,0,0,74,0,0,0,0,0,0,No
4.2.1,0,0,36,0,0,0,0,0,0,No
4.2.1,0,0,37,0,0,0,0,0,0,No
4.2.1,0,0,34,0,0,0,0,0,0,No
4.2.1,0,0,34,0,0,0,0,0,0,No
4.2.1,0,0,38,0,0,0,0,0,0,No
4.2.1,0,0,39,0,0,0,0,0,0,No
4.2.1,0,0,156,0,0,0,0,0,0,No
4.2.1,0,0,84,0,0,0,0,0,0,No
4.2.1,0,0,117,0,0,0,0,0,0,No
4.2.1,0,0,94,0,0,0,0,0,0,No
4.2.1,0,0,71,0,0,0,0,0,0,No
4.2.1,0,0,183,0,0,0,0,0,0,No
4.2.1,0,0,85,0,0,0,0,0,0,No
4.2.1,0,0,183,0,0,0,0,0,0,No
4.2.1,0,0,70,0,0,0,0,0,0,No
4.2.1,0,0,54,0,0,0,0,0,0,No
4.2.1,0,0,160,0,0,0,0,0,0,No
4.2.1,0,0,125,0,0,0,0,0,0,No
4.2.1,0,0,151,0,0,0,0,0,0,No
4.2.1,1,1,422,1,1,1,1,1,1,No
4.2.1,1,1,221,2,2,2,2,2,2,No
4.2.1,0,0,50,0,0,0,0,0,0,No
